eFG%,TO%,OR%,FTR,¿Win?
0.582,0.144,0.241,0.164,1
0.571,0.118,0.320,0.446,1
0.551,0.176,0.250,0.254,0
0.669,0.168,0.500,0.262,1
0.500,0.196,0.194,0.203,0
0.658,0.285,0.217,0.211,1
0.649,0.117,0.154,0.228,1
0.531,0.131,0.229,0.141,0
0.679,0.177,0.190,0.358,1
0.592,0.146,0.156,0.250,0
0.614,0.146,0.222,0.182,1
0.516,0.203,0.176,0.129,0
0.623,0.189,0.385,0.154,1
0.670,0.130,0.333,0.196,1
0.585,0.116,0.344,0.070,1
0.523,0.116,0.133,0.031,0
0.606,0.207,0.333,0.258,1
0.594,0.142,0.229,0.130,0
0.519,0.218,0.357,0.185,0
0.711,0.109,0.235,0.333,1
0.547,0.140,0.267,0.281,1
0.545,0.184,0.355,0.134,1
0.477,0.227,0.444,0.167,0
0.358,0.163,0.176,0.340,0
0.438,0.119,0.289,0.203,1
0.635,0.156,0.379,0.254,1
0.441,0.142,0.333,0.492,0
0.524,0.226,0.429,0.286,1
0.516,0.183,0.333,0.203,0
0.590,0.151,0.357,0.209,1
0.457,0.137,0.282,0.232,0
0.454,0.137,0.316,0.308,0
0.522,0.151,0.353,0.221,1
0.522,0.074,0.324,0.239,1
0.629,0.163,0.259,0.207,0
