Nº,NOMBRE,ALT,PES,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
1,Seydou Aboubacar Hima,208.3,98,"0,506","0,462",102.6,11.6,24.4,17.6,1.1,16.8,1.2,4.3,13.6,-4.4,1.3,102.5,100.3,2.2,67.6,11.7,5
2,Jubril Adekoya,200.7,104,"0,377","0,344",111.0,8.0,19.3,13.3,4.8,21.1,1.4,0.7,15.5,-5.0,0.8,78.0,103.8,-25.9,43.4,5.5,3
3,Caleb Agada,190.5,95,"0,473","0,423",154.9,7.8,23.6,16.1,17.3,16.8,5.8,0.3,29.9,-4.7,1.1,93.3,93.6,-0.3,108.4,18.4,4
4,Roopi Ahonen,185.4,78,"0,691","0,662",182.2,0.4,8.7,4.8,27.2,17.1,1.7,0.3,21.6,2.5,1.5,124.0,106.7,17.3,117.2,20.3,1
5,Pablo Almazan,195.6,86,"0,459","0,408",139.6,6.0,13.2,9.8,14.8,9.5,2.5,1.1,17.4,3.0,1.0,110.7,104.0,6.7,77.8,14.1,3
6,Oscar Alvarado,182.9,78,"0,600","0,549",155.1,1.7,9.4,5.3,34.6,19.0,3.0,0.0,13.5,9.1,1.5,126.6,103.6,23.0,176.1,17.9,1
7,Jonathan Araujo,208.3,100,"0,509","0,472",150.5,8.9,28.9,18.9,5.6,23.5,0.7,2.4,26.6,-10.9,1.1,87.2,107.4,-20.1,69.6,11.3,5
8,Oliver Arteaga,203.2,108,"0,692","0,667",139.7,7.5,24.1,16.6,11.3,17.7,1.5,2.5,24.0,-5.0,1.6,118.6,97.2,21.4,201.4,24.0,5
9,Lukas Aukstikalnis,193.0,80,"0,585","0,535",160.9,4.3,8.8,6.7,4.3,14.5,1.3,0.7,20.4,-4.3,1.4,106.0,105.2,0.8,81.4,12.9,1
10,Darko Balaban,210.8,105,"0,646","0,614",138.4,10.6,23.3,17.3,6.8,28.1,0.5,2.0,20.2,-9.4,1.5,99.8,104.0,-4.2,87.2,14.4,5
11,Raven Barber,203.2,100,"0,592","0,573",155.7,9.4,16.7,13.1,3.0,11.5,1.4,0.2,20.9,-3.9,1.3,115.4,109.6,5.8,132.4,18.4,3
12,Roma Bas,193.0,93,"0,502","0,486",161.9,1.4,4.9,3.1,10.0,6.5,1.4,0.3,15.1,1.7,1.0,106.1,111.0,-4.9,60.8,9.6,2
13,Carles Bivia,188.0,87,"0,594","0,565",165.7,3.6,10.9,7.3,12.6,13.3,2.4,0.5,20.1,-0.7,1.3,116.4,108.9,7.5,110.1,16.6,2
14,Marc Blanch,195.6,80,"0,532","0,445",163.4,1.9,8.8,5.1,15.8,14.0,2.8,0.3,23.2,-1.1,1.2,105.7,116.2,-10.4,81.4,15.3,3
15,Leandro Bolmaro,203.2,81,"0,471","0,447",130.7,6.2,11.9,9.1,20.2,19.2,3.4,0.9,24.4,-3.2,1.0,92.5,102.9,-10.5,99.8,12.7,3
16,Tobias Borg,182.9,73,"0,602","0,559",170.1,1.8,8.0,5.1,8.3,17.3,2.8,2.0,16.4,-2.3,1.4,112.4,104.4,8.0,74.0,13.4,1
17,Alejandro Bortolussi,203.2,100,"0,546","0,517",161.6,9.5,22.8,16.3,9.4,10.9,2.6,3.0,20.3,-1.6,1.2,116.0,96.8,19.2,130.4,19.7,4
18,Thomas Bropleh,195.6,91,"0,676","0,648",181.9,7.2,14.6,11.2,9.5,13.4,1.9,0.3,23.9,-3.1,1.5,128.6,104.6,24.0,144.4,23.8,1
19,Jaylon Brown,182.9,84,"0,527","0,487",158.3,1.1,8.9,4.9,17.8,12.3,2.1,0.9,25.6,-0.1,1.1,104.4,105.0,-0.7,100.8,15.2,1
20,Pep Busquets,195.6,90,"0,590","0,573",171.4,2.5,18.4,9.9,10.9,12.3,2.0,1.3,16.8,-0.4,1.2,113.8,112.7,1.1,86.4,14.9,3
21,Fran Cardenas,175.3,66,"0,467","0,400",160.0,3.4,7.0,5.4,31.8,33.0,2.4,0.0,15.0,3.0,1.0,96.5,103.4,-6.9,40.8,9.2,1
22,Adrian Chapela,193.0,88,"0,550","0,534",156.9,4.1,8.7,6.2,18.9,15.8,3.8,0.3,18.3,0.8,1.1,110.2,101.7,8.5,92.8,16.3,1
23,Angelo Chol,205.7,102,"0,486","0,433",113.6,8.7,14.0,11.4,1.3,15.0,0.6,3.2,22.2,-6.4,1.1,92.9,109.3,-16.5,44.9,10.9,4
24,Jesse Chuku,203.2,102,"0,437","0,420",111.6,6.8,10.7,8.9,5.3,7.3,1.5,3.7,14.8,-0.2,0.9,98.4,106.0,-7.6,66.0,10.1,3
25,Carlinhos Cobos,193.0,82,"0,584","0,544",159.3,2.2,11.6,7.0,17.7,12.4,2.2,0.5,15.6,2.4,1.3,123.5,103.6,20.0,128.6,15.6,1
26,Guillermo Corrales,180.3,79,"0,463","0,453",125.7,2.8,13.1,8.0,32.3,26.6,3.8,0.0,19.6,1.2,1.0,89.9,104.5,-14.6,133.9,12.4,1
27,Lluis Costa,185.4,93,"0,588","0,553",171.6,2.9,11.8,7.6,22.0,27.0,3.5,0.0,20.3,-2.2,1.3,103.7,102.3,1.4,90.8,15.1,1
28,Ivan Cruz,208.3,108,"0,607","0,614",133.0,7.1,28.3,17.4,5.9,12.4,2.3,1.0,20.1,-3.0,1.3,111.7,97.9,13.8,114.2,18.9,5
29,Nikola Cvetinovic,203.2,104,"0,625","0,589",177.3,8.6,11.5,10.1,7.1,6.6,0.8,0.5,22.9,-0.4,1.4,129.0,114.8,14.2,150.2,21.9,4
30,Sergio De La Fuente,198.1,106,"0,522","0,478",138.7,11.8,23.3,17.2,2.1,12.3,1.6,0.5,27.0,-6.4,1.2,105.3,102.3,3.0,141.0,18.7,4
31,Nedim Dedovic,205.7,86,"0,546","0,496",153.9,5.8,10.3,8.0,6.1,11.9,0.7,0.2,17.6,-2.0,1.2,113.2,117.2,-4.0,89.9,12.3,3
32,Johnny Dee,182.9,84,"0,630","0,602",177.2,2.8,12.0,7.7,11.9,13.1,2.2,0.0,23.6,-1.8,1.4,122.3,105.3,17.1,120.0,19.8,1
33,Leonardo Demetrio,203.2,90,"0,721","0,730",168.8,15.6,17.1,16.3,5.2,11.4,1.5,0.9,20.3,-3.1,1.6,134.0,102.7,31.3,103.9,25.7,4
34,Atoumane Diagne,208.3,104,"0,684","0,686",128.1,17.7,19.8,18.7,9.1,24.0,1.4,7.5,16.6,-5.4,1.7,116.6,99.8,16.8,162.8,21.1,5
