0/#,0/Player,0/Status,0/Pos,0/Min,0/FGM-A,0/3PM-A,0/FTM-A,0/FIC,0/Off,0/Def,0/Reb,0/Ast,0/PF,0/STL,0/TO,0/BLK,0/PTS,1/#,1/Player,1/Status,1/Pos,1/Min,1/FGM-A,1/3PM-A,1/FTM-A,1/FIC,1/Off,1/Def,1/Reb,1/Ast,1/PF,1/STL,1/TO,1/BLK,1/PTS,2/#,2/Player,2/Status,2/Pos,2/Min,2/FGM-A,2/3PM-A,2/FTM-A,2/FIC,2/Off,2/Def,2/Reb,2/Ast,2/PF,2/STL,2/TO,2/BLK,2/PTS,3/#,3/Player,3/Status,3/Pos,3/Min,3/FGM-A,3/3PM-A,3/FTM-A,3/FIC,3/Off,3/Def,3/Reb,3/Ast,3/PF,3/STL,3/TO,3/BLK,3/PTS,4/#,4/Player,4/Status,4/Pos,4/Min,4/FGM-A,4/3PM-A,4/FTM-A,4/FIC,4/Off,4/Def,4/Reb,4/Ast,4/PF,4/STL,4/TO,4/BLK,4/PTS,5/#,5/Player,5/Status,5/Pos,5/Min,5/FGM-A,5/3PM-A,5/FTM-A,5/FIC,5/Off,5/Def,5/Reb,5/Ast,5/PF,5/STL,5/TO,5/BLK,5/PTS,6/#,6/Player,6/Status,6/Pos,6/Min,6/FGM-A,6/3PM-A,6/FTM-A,6/FIC,6/Off,6/Def,6/Reb,6/Ast,6/PF,6/STL,6/TO,6/BLK,6/PTS,7/#,7/Player,7/Status,7/Pos,7/Min,7/FGM-A,7/3PM-A,7/FTM-A,7/FIC,7/Off,7/Def,7/Reb,7/Ast,7/PF,7/STL,7/TO,7/BLK,7/PTS,8/#,8/Player,8/Status,8/Pos,8/Min,8/FGM-A,8/3PM-A,8/FTM-A,8/FIC,8/Off,8/Def,8/Reb,8/Ast,8/PF,8/STL,8/TO,8/BLK,8/PTS,9/#,9/Player,9/Status,9/Pos,9/Min,9/FGM-A,9/3PM-A,9/FTM-A,9/FIC,9/Off,9/Def,9/Reb,9/Ast,9/PF,9/STL,9/TO,9/BLK,9/PTS,10/#,10/Player,10/Status,10/Pos,10/Min,10/FGM-A,10/3PM-A,10/FTM-A,10/FIC,10/Off,10/Def,10/Reb,10/Ast,10/PF,10/STL,10/TO,10/BLK,10/PTS,11/#,11/Player,11/Status,11/Pos,11/Min,11/FGM-A,11/3PM-A,11/FTM-A,11/FIC,11/Off,11/Def,11/Reb,11/Ast,11/PF,11/STL,11/TO,11/BLK,11/PTS,12/#,12/Player,12/Status,12/Pos,12/Min,12/FGM-A,12/3PM-A,12/FTM-A,12/FIC,12/Off,12/Def,12/Reb,12/Ast,12/PF,12/STL,12/TO,12/BLK,12/PTS
44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,19:39,1-3,1-3,2-2,11.2,1.0,3,4,6,2,1,0,0,5,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,27:08,6-7,0-0,3-4,12.0,1.0,7,8,0,3,1,3,1,15,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,22:02,5-8,0-0,0-0,9.0,2.0,4,6,1,2,1,2,1,10,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,SG,20:21,0-2,0-2,4-4,7.0,0.0,2,2,6,1,0,1,0,4,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SF,29:15,6-11,4-5,5-6,15.0,1.0,2,3,2,0,1,1,0,21,22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,14:55,3-7,0-3,2-5,2.6,0.0,1,1,0,0,1,0,0,8,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,10:20,1-5,1-5,0-0,1.0,0.0,1,1,1,0,0,0,0,3,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,09:47,3-7,1-4,0-0,3.5,0.0,1,1,1,2,0,0,1,7,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,19:17,0-3,0-2,1-2,2.2,2.0,5,7,1,3,0,1,0,1,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,15:43,1-2,0-0,0-0,3.2,1.0,1,2,2,2,3,3,0,2,23,"<a href=""/player/Adam-Pechacek/Summary/28050"">Adam Pechacek</a>",Bench,PF,03:14,1-2,0-0,0-0,-1.5,0.0,0,0,0,2,0,1,0,2,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,08:19,1-3,0-1,0-0,-0.2,0.0,0,0,0,0,0,0,0,2,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
45,"<a href=""/player/Janis-Blums/Summary/25159"">Janis Blums</a>",Starter,SG,24:08,6-10,4-7,1-2,6.8,0.0,4,4,0,4,2,5,0,17,27,"<a href=""/player/Nicolas-de-Jong/Summary/29614"">Nicolas de Jong</a>",Starter,C,18:25,3-5,0-0,0-0,3.2,2.0,2,4,0,1,1,3,0,6,9,"<a href=""/player/Nikola-Dragovic/Summary/6889"">Nikola Dragovic</a>",Starter,PF,24:03,4-8,3-6,5-5,12.6,1.0,4,5,0,1,0,0,1,16,13,"<a href=""/player/Gary-Neal/Summary/10568"">Gary Neal</a>",Starter,SF,25:52,7-16,2-7,0-0,4.2,0.0,1,1,2,5,1,1,0,16,11,"<a href=""/player/Tomas-Bellas/Summary/29044"">Tomas Bellas</a>",Starter,PG,27:17,0-5,0-1,2-2,2.8,1.0,1,2,6,3,0,1,0,2,7,"<a href=""/player/Jonathan-Barreiro/Summary/49148"">Jonathan Barreiro</a>",Bench,SF,14:03,2-3,2-3,0-0,5.5,0.0,3,3,0,1,0,0,0,6,13,"<a href=""/player/Sergi-Garcia/Summary/41705"">Sergi Garcia</a>",Bench,PG,12:43,0-2,0-1,2-2,-2.0,0.0,1,1,0,1,0,3,1,2,24,"<a href=""/player/Michal-Michalak/Summary/24810"">Michal Michalak</a>",Bench,SG,15:57,0-6,0-4,0-0,-5.0,0.0,2,2,0,2,0,1,0,0,33,"<a href=""/player/Alex-Suarez/Summary/25831"">Alex Suarez</a>",Bench,PF,16:20,1-3,1-3,0-0,6.2,1.0,4,5,1,1,1,0,0,3,5,"<a href=""/player/Juan-Jose-Triguero/Summary/29024"">Juan Jose Triguero</a>",Bench,C,04:37,0-0,0-0,2-2,1.2,0.0,0,0,0,0,0,0,0,2,32,"<a href=""/player/Jarvis-Varnado/Summary/2326"">Jarvis Varnado</a>",Bench,C,16:35,2-4,0-0,0-0,3.8,0.0,3,3,0,3,1,0,1,4,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,4,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Starter,SF,23:25,3-6,1-3,1-1,5.1,0.0,2,2,1,1,0,0,0,8,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,23:40,6-8,0-0,2-4,9.8,1.0,3,4,0,4,0,0,2,14,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,18:23,2-5,0-1,2-3,-1.1,0.0,3,3,1,3,0,4,0,6,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,26:38,2-6,1-4,1-2,7.5,1.0,1,2,6,2,0,0,0,6,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,26:07,5-12,3-6,0-0,5.2,0.0,5,5,1,1,0,3,0,13,22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,12:42,2-5,0-2,0-0,4.2,2.0,2,4,0,1,0,0,1,4,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,04:57,2-3,2-3,0-0,2.8,0.0,0,0,0,0,0,1,0,6,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,16:17,1-4,0-1,0-0,0.0,1.0,4,5,0,4,0,1,0,2,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,13:06,1-5,0-0,0-0,1.5,1.0,1,2,2,1,0,0,0,2,23,"<a href=""/player/Adam-Pechacek/Summary/28050"">Adam Pechacek</a>",Bench,PF,16:20,1-2,1-1,0-0,0.0,0.0,0,0,0,1,0,1,0,3,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,13:22,0-1,0-1,0-0,1.8,0.0,0,0,4,3,0,0,0,0,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,05:04,1-2,1-1,0-0,1.5,0.0,0,0,0,0,0,0,0,3,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,2,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
14,"<a href=""/player/Bojan-Dubljevic/Summary/25931"">Bojan Dubljevic</a>",Starter,C,26:46,5-13,0-2,1-2,9.2,2.0,7,9,2,1,0,0,0,11,32,"<a href=""/player/Erick-Green/Summary/3715"">Erick Green</a>",Starter,SG,27:58,6-14,1-4,6-7,15.1,0.0,3,3,4,0,1,0,2,19,30,"<a href=""/player/Joan-Sastre/Summary/25969"">Joan Sastre</a>",Starter,SF,29:45,3-5,0-1,2-2,10.0,1.0,2,3,4,0,0,1,1,8,0,"<a href=""/player/Will-Thomas/Summary/1860"">Will Thomas</a>",Starter,PF,25:53,3-6,0-2,0-0,8.0,2.0,4,6,0,1,2,0,0,6,9,"<a href=""/player/Sam-Van-Rossom/Summary/28609"">Sam Van Rossom</a>",Starter,PG,22:49,5-6,3-4,0-0,11.5,0.0,0,0,4,2,0,0,0,13,42,"<a href=""/player/Aaron-Doornekamp/Summary/24058"">Aaron Doornekamp</a>",Bench,PF,22:22,2-5,2-3,0-0,6.2,4.0,2,6,0,5,2,1,0,6,51,"<a href=""/player/Tryggvi-Hlinason/Summary/93775"">Tryggvi Hlinason</a>",Bench,C,00:32,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0,17,"<a href=""/player/Rafa-Martinez/Summary/29009"">Rafa Martinez</a>",Bench,SG,13:14,4-6,1-2,2-2,8.8,0.0,4,4,1,0,1,2,0,11,21,"<a href=""/player/Tibor-Pleiss/Summary/8219"">Tibor Pleiss</a>",Bench,C,12:26,1-4,0-0,2-2,-0.8,1.0,2,3,0,3,0,3,1,4,16,"<a href=""/player/Guillem-Vives/Summary/26573"">Guillem Vives</a>",Bench,PG,17:11,0-4,0-3,0-2,-4.2,1.0,0,1,0,3,1,1,0,0,16,"<a href=""/player/Pedro-Llompart/Summary/29017"">Pedro Llompart</a>",Bench,PG,00:32,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0,3,"<a href=""/player/Josep-Puerto/Summary/94514"">Josep Puerto</a>",Bench,SF,00:32,0-0,0-0,2-2,1.2,0.0,0,0,0,0,0,0,0,2,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,SF,22:49,3-6,0-1,0-0,6.2,2.0,3,5,2,1,0,1,0,6,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Starter,PG,25:12,2-5,0-0,0-0,4.5,0.0,1,1,7,3,1,3,0,4,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,27:58,6-7,0-0,5-5,17.9,3.0,4,7,1,4,1,1,3,17,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,22:57,6-9,0-0,3-3,13.9,2.0,7,9,0,3,1,1,1,15,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,22:43,3-6,1-1,2-2,3.2,0.0,2,2,0,2,0,1,0,9,22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Bench,SF,19:02,4-8,1-3,1-4,7.8,2.0,5,7,0,1,0,0,0,10,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,06:33,0-2,0-2,0-0,-2.0,0.0,0,0,0,1,0,0,0,0,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,15:00,2-3,0-1,0-0,-0.8,0.0,0,0,0,3,0,1,0,4,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,16:42,1-2,0-0,3-4,3.8,1.0,1,2,1,2,0,0,0,5,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Bench,PG,14:48,2-4,1-3,2-3,1.9,0.0,2,2,0,1,0,2,0,7,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,06:16,0-1,0-1,0-0,-1.2,0.0,0,0,0,1,0,0,0,0,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,1,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
21,"<a href=""/player/Tomasz-Gielo/Summary/24813"">Tomasz Gielo</a>",Starter,PF,30:37,5-11,3-7,2-3,6.9,0.0,3,3,0,4,1,0,0,15,44,"<a href=""/player/Jerome-Jordan/Summary/2311"">Jerome Jordan</a>",Starter,C,30:22,7-11,0-0,2-3,14.6,2.0,4,6,1,2,1,0,2,16,12,"<a href=""/player/Saulius-Kulvietis/Summary/25915"">Saulius Kulvietis</a>",Starter,SF,23:29,0-4,0-4,2-2,1.2,0.0,2,2,2,1,1,1,0,2,6,"<a href=""/player/Xabier-Lopez-Arostegui/Summary/54463"">Xabier Lopez-Arostegui</a>",Starter,SG,17:28,4-8,3-6,0-0,6.2,0.0,3,3,0,2,0,0,0,11,9,"<a href=""/player/Sergi-Vidal/Summary/2446"">Sergi Vidal</a>",Starter,PG,23:38,1-6,1-4,0-0,2.2,0.0,1,1,4,2,1,1,0,3,2,"<a href=""/player/Simon-Birgander/Summary/93759"">Simon Birgander</a>",Bench,C,02:12,0-0,0-0,0-0,0.5,0.0,0,0,1,1,0,0,0,0,00,"<a href=""/player/Nenad-Dimitrijevic/Summary/53933"">Nenad Dimitrijevic</a>",Bench,PG,16:28,3-4,1-2,2-2,6.5,1.0,1,2,1,3,0,0,0,9,23,"<a href=""/player/Omari-Gudul/Summary/64113"">Omari Gudul</a>",Bench,C,08:22,0-1,0-0,2-2,1.0,2.0,0,2,0,1,0,1,0,2,-,"<a href=""/player/Dominik-Mavra/Summary/27587"">Dominik Mavra</a>",Bench,SF,14:26,1-2,1-2,0-0,1.5,0.0,0,0,3,2,0,2,0,3,35,"<a href=""/player/Patrick-Richard/Summary/21603"">Patrick Richard</a>",Bench,SF,15:35,0-1,0-1,1-2,-3.5,0.0,0,0,2,4,1,4,0,1,14,"<a href=""/player/Albert-Ventura/Summary/26843"">Albert Ventura</a>",Bench,SG,17:23,1-7,1-4,3-4,-0.2,3.0,0,3,0,3,0,1,0,6,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,2,2,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,21:30,4-8,2-4,3-4,7.5,2.0,2,4,0,3,1,1,0,13,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Starter,PF,17:50,2-7,0-1,1-2,2.5,2.0,2,4,0,0,0,0,0,5,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,22:52,1-3,0-0,0-0,2.2,0.0,6,6,1,4,0,5,4,2,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,18:51,0-6,0-5,0-0,-6.2,0.0,1,1,0,1,0,2,0,0,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,27:51,7-10,3-5,2-2,14.2,0.0,4,4,1,1,1,1,0,19,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,03:04,0-0,0-0,0-0,-1.0,0.0,0,0,0,0,0,1,0,0,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,16:19,2-10,1-6,0-0,-1.5,1.0,0,1,1,2,1,1,0,5,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,14:33,0-2,0-0,2-2,0.5,0.0,1,1,1,0,0,1,0,2,23,"<a href=""/player/Adam-Pechacek/Summary/28050"">Adam Pechacek</a>",Bench,PF,09:26,1-3,0-1,0-0,3.5,3.0,3,6,0,1,0,1,0,2,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,17:49,1-4,1-3,2-2,2.5,0.0,1,1,5,3,1,4,0,5,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Bench,PF,16:43,1-6,0-2,1-2,0.8,2.0,2,4,0,1,0,0,0,3,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,13:12,1-4,0-1,0-0,-1.5,1.0,0,1,0,1,0,1,0,2,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,3,&nbsp;,&nbsp;,&nbsp;,2,&nbsp;,&nbsp;
13,"<a href=""/player/Thomas-Heurtel/Summary/9267"">Thomas Heurtel</a>",Starter,PG,22:51,5-8,2-4,2-2,10.8,0.0,2,2,2,2,2,1,0,14,25,"<a href=""/player/Petteri-Koponen/Summary/374"">Petteri Koponen</a>",Starter,SF,20:58,3-5,2-3,0-0,9.2,0.0,4,4,1,0,1,0,0,8,45,"<a href=""/player/Adrien-Moerman/Summary/15374"">Adrien Moerman</a>",Starter,PF,22:50,2-5,0-2,1-2,2.8,1.0,1,2,1,3,1,0,0,5,11,"<a href=""/player/Juan-Carlos-Navarro/Summary/196"">Juan Carlos Navarro</a>",Starter,SG,18:35,3-6,3-5,1-1,7.6,0.0,0,0,3,1,2,2,0,10,14,"<a href=""/player/Aleksandar-Vezenkov/Summary/27768"">Aleksandar Vezenkov</a>",Starter,C,18:05,3-4,1-1,2-2,10.0,1.0,3,4,1,3,1,0,1,9,6,"<a href=""/player/Marc-Garcia/Summary/40750"">Marc Garcia</a>",Bench,SF,07:20,0-2,0-1,0-0,-2.0,0.0,0,0,0,1,0,0,0,0,9,"<a href=""/player/Adam-Hanga/Summary/2567"">Adam Hanga</a>",Bench,SF,14:59,3-4,2-2,0-0,7.2,0.0,3,3,2,2,1,2,0,8,18,"<a href=""/player/Pierre-Oriola/Summary/26845"">Pierre Oriola</a>",Bench,PF,17:17,6-10,3-3,4-6,14.8,3.0,2,5,2,4,2,1,0,19,5,"<a href=""/player/Pau-Ribas/Summary/26237"">Pau Ribas</a>",Bench,SG,13:18,2-3,2-3,0-0,8.0,0.0,3,3,2,0,0,0,0,6,1,"<a href=""/player/Kevin-Seraphin/Summary/2429"">Kevin Seraphin</a>",Bench,C,09:45,3-4,0-0,0-0,6.2,1.0,1,2,1,1,0,1,2,6,44,"<a href=""/player/Ante-Tomic/Summary/811"">Ante Tomic</a>",Bench,C,16:53,5-6,0-0,1-2,15.8,2.0,4,6,5,0,0,0,0,11,8,"<a href=""/player/Phil-Pressey/Summary/9347"">Phil Pressey</a>",Bench,PG,17:09,3-9,0-3,0-0,5.2,0.0,2,2,6,1,1,2,0,6,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,1,1,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;
22,"<a href=""/player/Eimantas-Bendzius/Summary/25053"">Eimantas Bendzius</a>",Starter,SF,21:09,3-7,2-5,0-0,3.0,0.0,1,1,0,1,1,1,0,8,13,"<a href=""/player/Artem-Pustovyi/Summary/26007"">Artem Pustovyi</a>",Starter,C,28:24,3-5,0-1,6-6,12.2,2.0,9,11,0,3,0,6,5,12,11,"<a href=""/player/Nemanja-Radovic/Summary/25925"">Nemanja Radovic</a>",Starter,PF,20:05,6-10,1-2,3-4,13.2,3.0,5,8,0,1,0,0,0,16,3,"<a href=""/player/Albert-Sabat/Summary/39592"">Albert Sabat</a>",Starter,PG,21:26,5-7,3-4,0-0,8.5,0.0,1,1,4,2,0,3,0,13,21,"<a href=""/player/Matt-Thomas/Summary/56884"">Matt Thomas</a>",Starter,SG,22:42,8-9,3-4,1-1,14.1,1.0,1,2,0,1,0,0,0,20,33,"<a href=""/player/Alberto-Corbacho/Summary/29050"">Alberto Corbacho</a>",Bench,SF,04:00,0-3,0-3,0-0,-0.2,0.0,0,0,2,0,0,0,0,0,54,"<a href=""/player/Martins-Laksa/Summary/27010"">Martins Laksa</a>",Bench,SF,16:07,2-5,1-3,0-0,-1.2,0.0,0,0,0,5,0,0,0,5,9,"<a href=""/player/Nacho-Llovet/Summary/25970"">Nacho Llovet</a>",Bench,PF,17:26,1-1,0-0,0-0,7.0,0.0,7,7,1,3,0,0,1,2,20,"<a href=""/player/David-Navarro/Summary/39702"">David Navarro</a>",Bench,SG,16:02,4-7,0-1,1-3,5.9,0.0,1,1,2,1,1,0,0,9,44,"<a href=""/player/Pepe-Pozas/Summary/25968"">Pepe Pozas</a>",Bench,PG,18:34,0-1,0-1,2-2,7.8,0.0,1,1,6,3,2,0,0,2,7,"<a href=""/player/Ben-Simons/Summary/9941"">Ben Simons</a>",Bench,PF,14:05,3-5,1-3,0-0,5.5,2.0,1,3,1,3,0,0,0,7,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,4,4,&nbsp;,&nbsp;,&nbsp;,1,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
0,"<a href=""/player/Corey-Fisher/Summary/2259"">Corey Fisher</a>",Starter,PG,23:26,2-9,1-4,2-4,2.0,2.0,1,3,2,3,1,1,0,7,13,"<a href=""/player/Deividad-Gailius/Summary/24949"">Deividad Gailius</a>",Starter,SF,20:59,1-7,0-2,6-8,0.5,0.0,1,1,0,0,1,1,0,8,25,"<a href=""/player/Alex-Lopez/Summary/26943"">Alex Lopez</a>",Starter,SG,23:35,3-11,2-7,3-4,4.0,1.0,1,2,1,2,1,0,0,11,21,"<a href=""/player/Deon-Thompson/Summary/2324"">Deon Thompson</a>",Starter,PF,31:15,7-12,2-2,0-0,18.2,4.0,5,9,2,3,1,1,3,16,10,"<a href=""/player/Javier-Vega/Summary/24895"">Javier Vega</a>",Starter,C,33:31,4-8,3-7,2-2,7.2,3.0,2,5,1,1,0,4,0,13,23,"<a href=""/player/Goran-Huskic/Summary/52966"">Goran Huskic</a>",Bench,C,11:14,1-4,0-0,0-0,-1.0,0.0,2,2,1,3,0,1,0,2,15,"<a href=""/player/Edu-Martinez/Summary/25066"">Edu Martinez</a>",Bench,SF,16:00,3-6,3-6,0-0,8.0,3.0,2,5,0,2,0,0,0,9,11,"<a href=""/player/Sebastian-Saiz/Summary/27699"">Sebastian Saiz</a>",Bench,C,04:00,0-0,0-0,0-0,-1.5,0.0,0,0,0,1,0,1,0,0,5,"<a href=""/player/Thomas-Schreiner/Summary/33644"">Thomas Schreiner</a>",Bench,PG,16:32,1-3,0-2,0-0,1.2,0.0,0,0,3,1,0,1,0,2,-,"<a href=""/player/Tadas-Sedekerskis/Summary/54360"">Tadas Sedekerskis</a>",Bench,SF,03:03,0-0,0-0,0-0,0.0,0.0,0,0,0,0,0,0,0,0,9,"<a href=""/player/Alex-Barrera/Summary/29022"">Alex Barrera</a>",Bench,SG,16:25,0-7,0-4,1-2,-5.8,0.0,3,3,0,4,0,1,0,1,&nbsp;,Team,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,3,&nbsp;,3,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,&nbsp;,,,,,,,,,,,,,,,,,,
